Issue Type,Issue ID,Summary,Description,Priority,Component/s,Labels,Epic Name,Epic Link,Status
Epic,EPIC-1,[SQAP] Plan Maestro de Aseguramiento de Calidad,Epic principal para la gestion del Plan de Aseguramiento de la Calidad (SQAP) del Sistema Hospitalario.,High,SQA,SQAP;Fase1;Estrategia,[SQAP] Plan Maestro de Aseguramiento de Calidad,,Done
Epic,EPIC-2,[SQA-AUDIT] Auditoria de Codigo y Analisis Estatico,Epic para la auditoria inicial de codigo legado (Roslyn Analyzers y linters) sin refactorizacion inmediata.,High,SQA,SQAP;Fase1;Audit,[SQA-AUDIT] Auditoria de Codigo y Analisis Estatico,,Done
Epic,EPIC-3,[SQA-TEST] Diseno y Ejecucion de Pruebas Dinamicas,Epic para la creacion de tests unitarios (xUnit/Moq) y pruebas funcionales E2E.,Medium,SQA,SQAP;Fase2;Testing,[SQA-TEST] Diseno y Ejecucion de Pruebas Dinamicas,,Done
Bug,BUG-01,[SEC-01] Falta de validacion ModelState.IsValid en AccesoController,La accion Login no verifica ModelState.IsValid antes de procesar DTO.,Highest,Autenticacion,Security;ModelState;Acceso,,EPIC-2,Closed
Bug,BUG-02,[CODE-02] Metodo Encriptar no estatico en AccesoController,Metodo Encriptar debe ser marcado como estatico (SonarQube S2325).,Low,Autenticacion,CodeSmell;Acceso,,EPIC-2,Closed
Bug,BUG-03,[SEC-03] Riesgo de bypass de autorizacion por rol en Filtro,Falta de validacion de token o rol en peticiones a endpoints protegidos.,Highest,Seguridad,Security;Bypass;Roles,,EPIC-2,Closed
Bug,BUG-04,[CODE-04] Alta complejidad cognitiva (>21) en PacienteDAL.cs,El metodo de lectura de pacientes excede la complejidad cognitiva recomendada (SonarQube S3776).,High,CapaDatos,CognitiveComplexity;Paciente,,EPIC-2,Closed
Bug,BUG-05,[FUNC-05] Inexistencia de validacion de DTO en PacientesController,Acciones de PacientesController omiten validacion de nulidad o longitud de cedula.,High,Pacientes,Validation;Pacientes,,EPIC-2,Closed
Bug,BUG-06,[ERR-06] Lanzamiento generico throw new Exception() en CitasDAL,CitasDAL captura excepciones y relanza Exception generico destruyendo stack trace.,Medium,CapaDatos,ExceptionHandling;Citas,,EPIC-2,Closed
Bug,BUG-07,[DEPR-07] Uso de biblioteca obsoleta SqlCommand en CitasDAL,Se utiliza System.Data.SqlClient en lugar de Microsoft.Data.SqlClient.,Medium,CapaDatos,Obsolete;SqlClient,,EPIC-2,Closed
Bug,BUG-08,[FUNC-08] Omision de ModelState.IsValid en TratamientosController,TratamientosController no valida el modelo DTO al registrar tratamientos.,High,Tratamientos,Validation;Tratamientos,,EPIC-2,Closed
Bug,BUG-09,[UX-09] Redireccion sin feedback al denegar rol Secretario,Al denegar acceso a Tratamientos no se muestra mensaje informativo al usuario.,Low,Presentacion,UX;Authorization,,EPIC-3,Closed
Bug,BUG-10,[FUNC-10] Omision de ModelState.IsValid en FacturacionController,FacturacionController procesa facturas sin validar ModelState.IsValid.,High,Facturacion,Validation;Facturacion,,EPIC-2,Closed
Bug,BUG-11,[SEC-11] RIESGO DE INYECCION SQL (S2077) por formateo de cadenas,GenericDAL y DatabaseInitializer utilizan concatenacion directa de cadenas SQL.,Highest,CapaDatos,Security;SQLi;S2077,,EPIC-2,Closed
Bug,BUG-12,[SEC-12] EXPOSICION DE CREDENCIAL SA_PASSWORD (S6703),La contrasena de SA esta hardcodeada en texto plano en docker-compose.yml.,Highest,Infraestructura,Security;HardcodedCredentials,,EPIC-1,Closed
Bug,BUG-13,[UI/UX] Muestra de IDs numericos en lugar de nombres (Paciente/Medico) en grilla de Citas,En la vista /Citas/Citas la grilla muestra IDs numericos primarios (1) en lugar de Nombres Completos y fecha en formato tecnico ISO-8601.,Medium,Presentacion,UX;Citas;Legibilidad,,EPIC-3,Closed
Bug,BUG-14,[UI/UX] Desplegables de Paciente/Medico muestran IDs numericos y titulo incorrecto en Modal de Citas,En la ventana modal de Citas el titulo dice Formulario de Laboratorio y los combos desplegables muestran IDs numericos (1) en lugar del Nombre de Paciente/Medico.,Medium,Presentacion,UX;Citas;Modal;Formulario,,EPIC-3,Closed
Bug,BUG-15,[UI/UX] Cuadro de alerta de error en blanco al ingresar credenciales incorrectas en Login,Al ingresar un usuario o clave invalida en la vista de Login la interfaz renderiza un contenedor de alerta vacio sin mostrar el texto descriptivo del error.,High,Autenticacion,UX;Login;Authentication;Feedback,,EPIC-3,Closed
